id,group,FORK,SKIRT,MUSTARD,BUTTERFLY,CELERY,LILY,STOMACH,SILVER,PINEAPPLE,BUS,SALMON,UNCLE,RABBIT,HAIRDRESSER,TABLECLOTH,ZEBRA,LIP,CAKE,FLUTE,THUMB,WRENCH,FIR TREE,JUICER,RAVEN
3002,control,SPOON,LEGS,KETCHUP,FLYING,SNAP,FLOWER,INTESTINES,GOLD,YELLOW,BIG,PINK,RELATIVE,FURRY,FLAMBOYANT,FLAT,STRIPES,KISS,BIRTHDAY,INSTRUMENT,FINGER,TOOL,TOWERING,FRUIT,BLACK
3003,control,SPOON,DRESS,KETCHUP,NET,STICK,PAD,ACHE,GOLD,FRUIT,STOP,FISH,AUNT,BUNNY,SCISSORS,CHAIR,STRIPES,KISS,BIRTHDAY,PLAY,FINGER,HAMMER,EVERGREEN,DRINK,BLACKBIRD
3004,control,EAT,PLEATED,KETCHUP,COLORFUL,STICKS,FLOWER,ACHE,GOLD,YELLOW,RIDE,FISH,AUNT,CARROT,HAIRDO,EAT,STRIPES,STICK,BIRTHDAY,INSTRUMENT,FINGER,TOOL,BROWN,BOX,BLACK
3005,control,SPOON,PANTS,SEED,CATERPILLAR,CARROT,ROSE,FOOD,GOLD,JUICE,CAR,FISH,AUNT,WOLF,SCISSOR,CHAIR,HORSEY,LIPSTICK,CHOCOLATE,TRUMPET,NAIL,SCREW,NEEDLES,ORANGE,EAGLE
3006,control,SPOON,DRESS,KETCHUP,PRETTY,STALK,PAD,TUMMY,GOLD,FRUIT,DRIVER,FISH,AUNT,FAST,BARBER,CHAIR,STRIPE,STICK,ICE CREAM,PLAY,FINGER,SOCKET,CHRISTMAS,ORANGE,CROW
3007,control,KNIFE,DRESS,KETCHUP,COCOON,STICK,FLOWER,FLU,GOLD,FRUIT,DRIVER,FISH,AUNT,HOLE,HAIRCUT,CHAIRS,STRIPES,BALM,CUP,MUSIC,FINGER,TOOL,GREEN,ORANGE,CROW
3008,control,KNIFE,DRESS,KETCHUP,CATERPILLAR,CARROT,PAD,ACHE,GOLD,LUAU,STOP,FISH,AUNT,BUNNY,BARBER,CHAIR,ZOO,KISS,SLICE,ORCHESTRA,FINGER,SCREWDRIVER,PINE,APPLE,BIRD
3009,control,KNIFE,GIRL,BOTTLE,MOTH,VEGETABLE,WHITE,TUMMY,GOLD,APPLE,DRIVER,FISH,AUNT,ANIMAL,COMBS,CHAIR,HORSE,MOUTH,BATTER,TRUMPET,FINGER,SCREWDRIVER,GRASS,APPLE,BIRD
3010,control,KNIFE,PANTS,YELLOW,WINGS,STALK,FLOWER,HUNGRY,GOLD,FRUIT,VEHICLE,FISH,AUNT,HARE,COLORS,CHAIRS,STRIPED,MOUTH,BIRTHDAY,PICCOLO,FINGER,TOOL,FOREST,BEVERAGE,BIRD
3011,control,SPOON,SHORT,KETCHUP,FLOWER,GREEN,DAFFODIL,INTESTINE,SHINY,GRAPEFRUIT,CAR,FISH,AUNT,HOLE,STYLISH,CHAIR,ANIMAL,NOSE,SWEET,TROMBONE,PRINT,SCREWDRIVER,EVERGREEN,ORANGE,FLOWER
