id,group,condition,response,response_nofill,item,item_nofill,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,SemDis_factor
1003,artists,free,SUPERMAN,superman,BUS,bus,0.82749,0.92278,0.94364,0.96397,0.95476,0.92253,0.18339
1003,artists,uncommon,TRUCK,truck,BUS,bus,0.51109,0.66139,0.67244,0.65629,0.38143,0.57653,-0.13506
1003,artists,common,INSECT,insect,BUTTERFLY,butterfly,0.54227,0.65362,0.57012,0.34023,0.62327,0.5459,-0.13025
1003,artists,free,LOFT,loft,BUTTERFLY,butterfly,0.88658,0.83434,0.87159,0.96177,0.98022,0.9069,0.17625
1003,artists,uncommon,ORANGE,orange,BUTTERFLY,butterfly,0.77605,0.94523,0.84631,1.00051,0.86579,0.88678,0.12948
1003,artists,free,DRY,dry,CAKE,cake,0.78928,0.95406,0.92528,0.91023,0.70747,0.85726,0.12848
1003,artists,common,PIE,pie,CAKE,cake,0.4626,0.65875,0.64234,0.49448,0.39126,0.52989,-0.16588
1003,artists,uncommon,TOO,too,CAKE,cake,0.69308,0.85442,0.91888,0.97259,0.82957,0.85371,0.10309
1003,artists,common,CARROT,carrot,CELERY,celery,0.52689,0.53476,0.49691,0.77742,0.35121,0.53744,-0.19366
1003,artists,uncommon,CARROT,carrot,CELERY,celery,0.52689,0.53476,0.49691,0.77742,0.35121,0.53744,-0.19366
1003,artists,free,WIRE,wire,CELERY,celery,0.86264,0.88711,0.88304,1.03669,0.94495,0.92289,0.17575
1003,artists,common,GREEN,green,FIR TREE,fir tree,1.00673,0.92781,0.95693,0.87131,0.92308,0.93717,0.23978
1003,artists,uncommon,MOUNTAIN,mountain,FIR TREE,fir tree,1.08518,1.00958,1.00322,1.02757,0.94488,1.01409,0.29991
1003,artists,free,SHADE,shade,FIR TREE,fir tree,1.13975,0.95494,0.95637,0.99813,0.96921,1.00368,0.30111
1003,artists,uncommon,MELODY,melody,FLUTE,flute,0.52491,0.64449,0.60227,0.57161,0.51719,0.57209,-0.13463
1003,artists,common,MUSIC,music,FLUTE,flute,0.60439,0.62897,0.64115,0.45811,0.67078,0.60068,-0.07989
1003,artists,free,THIRSTY,thirsty,FLUTE,flute,0.7997,0.93168,0.92245,1.04507,0.97652,0.93508,0.17611
1003,artists,free,BITE,bite,FORK,fork,0.70816,0.79188,0.84323,0.87066,0.76105,0.795,0.06424
1003,artists,common,SPOON,spoon,FORK,fork,0.61051,0.47333,0.67343,0.57769,0.56146,0.57928,-0.10009
1003,artists,uncommon,SPOON,spoon,FORK,fork,0.61051,0.47333,0.67343,0.57769,0.56146,0.57928,-0.10009
1003,artists,common,HAIRCUT,haircut,HAIRDRESSER,hairdresser,0.44624,0.44651,0.58107,0.77918,0.67682,0.58596,-0.15829
1003,artists,free,PERM,perm,HAIRDRESSER,hairdresser,0.75128,0.61088,0.81399,1.0767,0.8154,0.81365,0.06558
1003,artists,uncommon,SMELL,smell,HAIRDRESSER,hairdresser,0.81226,0.89225,0.83885,1.05743,0.86249,0.89266,0.13508
1003,artists,free,BACTERIA,bacteria,JUICE,juice,0.87136,0.82393,0.84373,0.87416,0.7732,0.83728,0.12605
1003,artists,uncommon,SWEET,sweet,JUICE,juice,0.66202,0.82193,0.83647,0.74722,0.57737,0.729,0.01649
1003,artists,common,THIRSTY,thirsty,JUICE,juice,0.57152,0.68295,0.73773,0.87388,0.80575,0.73437,-0.01822
1003,artists,common,BLOSSOM,blossom,LILY,lily,0.71845,0.81868,0.72438,0.92353,0.61044,0.7591,0.0171
1003,artists,uncommon,FLOWER,flower,LILY,lily,0.63756,0.75968,0.62696,0.93038,0.59325,0.70957,-0.04729
1003,artists,free,WATER,water,LILY,lily,0.77998,0.8738,0.91638,0.95253,0.80972,0.86648,0.13048
1003,artists,uncommon,BALM,balm,LIP,lip,0.61088,0.63508,0.79521,0.87711,0.58445,0.70055,-0.02905
1003,artists,free,CUT,cut,LIP,lip,0.81534,0.92412,0.8708,0.86811,0.77239,0.85015,0.12668
1003,artists,common,MOUTH,mouth,LIP,lip,0.59312,0.73849,0.7064,0.7741,0.60417,0.68326,-0.04824
1003,artists,free,BITTER,bitter,MUSTARD,mustard,0.81933,0.90084,0.83379,1.0109,0.86918,0.88681,0.13615
1003,artists,common,KETCHUP,ketchup,MUSTARD,mustard,0.61419,0.43572,0.71926,0.63068,0.47181,0.57433,-0.10241
1003,artists,uncommon,KETCHUP,ketchup,MUSTARD,mustard,0.61419,0.43572,0.71926,0.63068,0.47181,0.57433,-0.10241
1003,artists,uncommon,BLUE,blue,PINEAPPLE,pineapple,0.86326,0.93052,0.8895,0.96095,0.90821,0.91049,0.17417
1003,artists,common,FRUIT,fruit,PINEAPPLE,pineapple,0.49696,0.62145,0.61108,0.73316,0.51861,0.59625,-0.13726
1003,artists,free,SPIKE,spike,PINEAPPLE,pineapple,0.78615,0.96025,0.88216,0.89981,1.00335,0.90634,0.16165
1003,artists,common,EASTER,easter,RABBIT,rabbit,0.7209,0.70902,0.93495,0.97778,0.76669,0.82187,0.08923
1003,artists,uncommon,FURRY,furry,RABBIT,rabbit,0.63146,0.74021,0.7027,0.59881,0.63439,0.66151,-0.03904
1003,artists,free,PELLET,pellet,RABBIT,rabbit,0.79149,0.84871,0.81464,0.93145,0.92491,0.86224,0.11994
1003,artists,common,BIRD,bird,RAVEN,raven,0.64109,0.67088,0.65037,0.50649,0.82925,0.65962,-0.03285
1003,artists,uncommon,BLACK,black,RAVEN,raven,0.70635,0.82873,0.74981,0.95797,0.78516,0.8056,0.04991
1003,artists,free,COLD,cold,RAVEN,raven,0.89092,0.96174,0.88344,1.01562,1.01399,0.95314,0.20465
