id,group,condition,response,response_clean,item,item_clean,SemDis_MEAN,SemDis_factor
1005,artists,common,NEVERMORE,nevermore,RAVEN,raven,0.71301,-0.03709
1005,artists,common,FISH,fish,SALMON,salmon,0.37313,-0.29382
1005,artists,common,GOLD,gold,SILVER,silver,0.26369,-0.406
1005,artists,common,PANTS,pants,SKIRT,skirt,0.49516,-0.17968
1005,artists,common,ACHE,ache,STOMACH,stomach,0.62568,-0.10251
1005,artists,common,CHAIR,chair,TABLECLOTH,tablecloth,0.73108,0.02399
1005,artists,common,FINGER,finger,THUMB,thumb,0.4436,-0.24419
1005,artists,common,AUNT,aunt,UNCLE,uncle,0.36253,-0.31397
1005,artists,common,TOOL,tool,WRENCH,wrench,0.67733,0.0027
1005,artists,common,LION,lion,ZEBRA,zebra,0.67599,-0.0147
1005,artists,free,TRAIN,train,BUS,bus,0.49301,-0.24674
1005,artists,free,COCOON,cocoon,BUTTERFLY,butterfly,0.55042,-0.06654
1005,artists,free,COOKIES,cookies,CAKE,cake,0.51315,-0.11943
1005,artists,free,CARROT,carrot,CELERY,celery,0.53744,-0.19753
1005,artists,free,OAK TREE,oak tree,FIR TREE,fir tree,0.39833,-0.29587
1005,artists,free,PIANO,piano,FLUTE,flute,0.46549,-0.20727
1005,artists,free,SPOON,spoon,FORK,fork,0.57928,-0.09126
1005,artists,free,ACCOUNTANT,accountant,HAIRDRESSER,hairdresser,0.77146,0.00292
1005,artists,free,WATER,water,JUICER,juicer,0.87006,0.14754
1005,artists,free,PANSY,pansy,LILY,lily,0.76172,-0.01797
1005,artists,free,TONGUE,tongue,LIP,lip,0.64993,-0.07273
1005,artists,free,KETCHUP,ketchup,MUSTARD,mustard,0.57433,-0.08329
1005,artists,free,KUMQUAT,kumquat,PINEAPPLE,pineapple,0.61917,-0.0663
1005,artists,free,DOG,dog,RABBIT,rabbit,0.67906,-0.13296
1005,artists,free,CROW,crow,RAVEN,raven,0.63591,-0.08233
1005,artists,free,TROUT,trout,SALMON,salmon,0.37454,-0.31753
1005,artists,free,GOLD,gold,SILVER,silver,0.26369,-0.406
1005,artists,free,DRESS,dress,SKIRT,skirt,0.43406,-0.24473
1005,artists,free,ACHE,ache,STOMACH,stomach,0.62568,-0.10251
1005,artists,free,CHAIR,chair,TABLECLOTH,tablecloth,0.73108,0.02399
1005,artists,free,FINGER,finger,THUMB,thumb,0.4436,-0.24419
1005,artists,free,AUNT,aunt,UNCLE,uncle,0.36253,-0.31397
1005,artists,free,SCREWDRIVER,screwdriver,WRENCH,wrench,0.51178,-0.16351
1005,artists,free,HORSE,horse,ZEBRA,zebra,0.83994,0.09858
1005,artists,uncommon,METRO,metro,BUS,bus,0.63035,-0.14877
1005,artists,uncommon,AFFECT,affect,BUTTERFLY,butterfly,0.92679,0.20738
1005,artists,uncommon,MOVIE,movie,CAKE,cake,0.90864,0.14337
1005,artists,uncommon,CRUNCH,crunch,CELERY,celery,0.82785,0.08558
1005,artists,uncommon,NEEDLES,needles,FIR TREE,fir tree,0.97126,0.25329
1005,artists,uncommon,LIP,lip,FLUTE,flute,0.94,0.1786
1005,artists,uncommon,INTERSECTION,intersection,FORK,fork,0.88603,0.09219
1005,artists,uncommon,BLOW DRYER,blow dryer,HAIRDRESSER,hairdresser,0.99832,0.29431
1005,artists,uncommon,POMEGRANATE,pomegranate,JUICER,juicer,0.66657,-0.00451
1005,artists,uncommon,VALLEY,valley,LILY,lily,0.88017,0.14079
1005,artists,uncommon,SORE,sore,LIP,lip,0.82036,0.06643
1005,artists,uncommon,SEED,seed,MUSTARD,mustard,0.77428,0.00203
1005,artists,uncommon,PIZZA,pizza,PINEAPPLE,pineapple,0.70588,-0.03237
1005,artists,uncommon,FOOT,foot,RABBIT,rabbit,0.81833,0.07406
1005,artists,uncommon,BLACK,black,RAVEN,raven,0.8056,0.03912
1005,artists,uncommon,SMOKED,smoked,SALMON,salmon,0.66672,-0.07058
1005,artists,uncommon,FILLING,filling,SILVER,silver,0.95433,0.23661
1005,artists,uncommon,HEM,hem,SKIRT,skirt,0.53721,-0.15961
1005,artists,uncommon,GASTROPOD,gastropod,STOMACH,stomach,0.86391,0.12276
1005,artists,uncommon,PLACEMAT,placemat,TABLECLOTH,tablecloth,0.76764,0.0375
1005,artists,uncommon,NAIL,nail,THUMB,thumb,0.73917,0.0249
